FrontText,BackText
Lambdaの1回の実行時間の最大は何分,15分
ハイパフォーマンスコンピューティング（HPC）における三種の神器の一つで、①計算用サーバーの集まりを簡単に一括構築・管理するクラスター管理ツール,ParallelCluster
ハイパフォーマンスコンピューティング（HPC）における三種の神器の一つで、②サーバー間のデータ転送の遅延を極限まで減らします,EFA（Elastic Fabric Adapter）
ハイパフォーマンスコンピューティング（HPC）における三種の神器の一つで、③複数のサーバー間でデータをやり取りしながら並列計算する,MPI（Message Passing Interface）
LambdaからRDSへ大量に接続する ときに、接続を効率よくプールして使い回してくれるRDSの接続機能は何？,RDS Proxy
それ自体がNetwork Attached Storageのフリをして、データを社内ディスクとS3の2箇所に同時に保存してくれる賢い中継システムは何Gatewayか,Storage Gateway
3層アプリケーション（3層クライアント・サーバーシステム）の３つの機能は何,「プレゼンテーション層」「アプリケーション層」「データ層」
システムを使えるようにするために、必要な設備やリソース（サーバー、ネットワーク、ストレージなど）を準備・配置・設定すること,プロビジョニング
ECS の、土台となるサーバーを起動する2つの「起動モード」は何？,EC2起動モード、Fargate起動モード
DynamoDBの読み込みをミリ秒からマイクロ秒単位へ超高速化するキャッシュサービスは何か？,DynamoDB Accelerator (DAX)
動いている暗号化されていないDAXクラスターを暗号化したい場合の対処方法は？,新しく暗号化を有効にしたDAXクラスターを作成し直し、そちらに切り替える
AWSが提供する超大型データ分析専用のデータウェアハウスは何か？,Redshift
S3バケットに置いてある大量のデータを、Redshift側にわざわざ取り込むことなく、S3にある状態のままで超高速にSQL分析できるRedshiftの機能は何か？,Redshift Spectrum
Route 53で「言語の出し分け」「国ごとのコンテンツ切り替え」 が目的 のルーティングは何か？,位置情報ルーティング
Route 53で「物理的な距離の近さ」「バイアスを使ったエリア調整」 が目的のルーティングは何か？,地理的近接性ルーティング
SQSの実行中キューを、キューを処理するLambda関数やEC2インスタンスから隠しておく時間を何と呼ぶか,可視性タイムアウト
「データセンター障害」や「建物・インフラの障害」など、同じ都市の中で対策するのは、マルチAZか、マルチリージョンGlobal Databaseか？,マルチAZ
「大規模な地域災害」「リージョン全体の障害」など国レベルの対策は、マルチAZか、マルチリージョンGlobal Databaseか？,Global Database（マルチリージョン）
サーバーが「過去のやり取り（状態）」を覚えていることをステート何という,ステートフル
サーバーは過去のやり取りを「一切覚えない」ことをステート何という,ステートレス
EC2のローカルディスク（EBS）に画像を保存すると、その画像は、保存した特定のEC2インスタンスの中にしか存在しなくなってしまう、特定のサーバーに依存した状態になる。これはステート何というか」という意味です。,ステートフル
EC2がS3やEFSなどのサーバーの外にデータを追い出す理想の動きはステート何？,ステートレス
EC2購入オプションで、「ステートレス」「中断可能」「バッチ処理」「最もコストを抑える」ものは何,スポット
EC2購入オプションで、「予測不可能」「中断されては困る」「短期の開発・テスト」なものは何,オンデマンド
EC2購入オプションで、「定常的（24時間365日）」「1年または3年の長期契約」「予測可能」なものは何,リザーブド
Storage GatewayやFSxなどのストレージサービスとオンプレミス環境を接続する際の標準プロトコルは何,iSCSI：internet Small Computer System Interface
ファイル構成を分割するために単語の先頭に追加した接頭語は何,プレフィックス
APIを呼び出すユーザーに対して、IAMロールを引き受けさせてAPIを実行する権限を付与するものは何,IAM ポリシー
事前にキャパシティを設定せず、実際のトラフィックに応じて自動かつ瞬時にスケールするDynamoDBのキャパシティモードは何,オンデマンドモード
アプリケーションに必要な1秒あたりの読み込み回数と書き込み回数を、ユーザーが事前に指定するDynamoDBのキャパシティモードは何,プロビジョンドモード
AMI を特定のAWSアカウントのみと共有するには、AMI の 何 プロパティを変更し、対象となるAWSアカウントIDに明示的な起動許可を与えるか,LaunchPermission
DDoS 攻撃によって発生した AWS 請求額の急増（データ転送量 (DTO) の増加などによる予期せぬコスト）に対して、サービスクレジットによるコスト保護を提供するサービスは,Shield Advanced
DynamoDB において、運用上のオーバーヘッドを最小限に抑えつつ、「任意の時点」へのデータ復元を実現するための最適な機能は何,ポイントインタイムリカバリ
メッセージを一時的に貯めておき、EC2などのワーカーが自分のペースで引き出してプル型処理して、負荷に応じた柔軟な疎結合の分散処理が可能になります,SQS（キューイングサービス）
通知（プッシュ型）のサービスであるため、メッセージを溜めておいてEC2の負荷に応じて処理させるようなワークロードには向きません。,SNS
キューのメッセージ総数 ÷ 実行中のインスタンス数、で算出されるスケーリング指標は何,インスタンスあたりのバックログ
オンプレミスの物理・仮想サーバーをAWS上へ迅速に復旧させるための専用の災害復旧サービスです。Replication Agent をオンプレミスのVMにインストールすることで、AWS上の低コストなステージングエリアへ増分レプリケーションし続けます。本番環境（ウォームスタンバイなど）への切り替え（フェイルオーバー）が迅速に行えるため、RTOが数分〜15分といった厳しい要件に最適です。本番の同期を止めることなく、AWS上で「リカバリのテスト」を数クリックで安全に実施・検証できる機能が標準で備わっています。このサービスは何,Elastic Disaster Recovery (DRS)
Lambda関数がAmazon SQSなどの他のAWSサービスに対してアクションを実行する場合、Lambda関数自体に適切な権限を持つ何を割り当てる必要があるか, IAMロール
S3バケットに保存された未加工データを自動的にスキャンし、データ形式を分類・推論して、Hive互換のデータ分割を作成してカタログ化を行い、データの分類要件を満たすサービス,Glue クローラー
S3内のデータに対して標準SQLを使って迅速に分析するための強力なサーバーレスクエリサービスは何,Athena
データベースのパスワードを自動的にローテーションしてくれる機能が標準で備わっていて、アプリケーション側が常に最新のパスワードを取得できるように自動化するサービスは何,Secrets Manager
パスワードを暗号化して安全に保存することはできますが、Secrets Managerのような「自動ローテーション機能」は標準では持っていないサービスは何,Systems Manager パラメーターストア
S3バケットに保存されたオブジェクトに変更があった場合に、過去のバージョンを保存することで、意図しないユーザーの操作やアプリケーションの障害によってデータが失われた場合でも、過去のバージョンから容易にデータを復旧するためには何を有効化するべきか,バージョニング
EventBridgeからSNSへ直接送れるが、システム未加工の生のJSONデータが通知されてしまうため、人間が見やすい独自のフォーマットで通知したい。EventBridgeとSNSの間に入れるべきサービスは,Lambda
